ID,Gender,Race,Ethnicity,Age
1096,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.666666666666664
1097,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
1555,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.0
1616,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.0
2024,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0
2054,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),63.31818181818182
2123,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
2142,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.333333333333336
2416,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.333333333333336
2458,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.666666666666664
2465,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
4064,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0
4201,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
4347,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0
4828,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.5
6597,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0
6936,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),24.0
8104,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.666666666666664
8993,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),67.0
9273,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.5
9300,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),41.0
9647,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0
9728,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),54.0
10107,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.55555555555556
10619,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
11625,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.666666666666664
