ID,Gender,Race,Ethnicity,Age,Income
1096,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.666666666666664,1015.0
1097,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0,748.0
2054,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),63.31818181818182,524.6666666666666
2142,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.333333333333336,998.0
2416,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.333333333333336,1200.0
2458,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.666666666666664,750.0
2465,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0,772.0
4064,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0,800.0
4201,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,610.0
4347,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0,1074.0
6597,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0,144.0
8993,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),67.0,1300.0
9273,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.5,3200.0
9647,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0,735.0
9728,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),54.0,650.0
10619,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,742.0
15513,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0,850.0
16664,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0,734.0
19229,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0,800.0
19369,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),70.0,1000.0
19938,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.5,714.2857142857143
26624,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0,1200.0
67161,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),58.0,733.0
67408,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0,814.0
67950,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,750.0
70856,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.75,760.0
71472,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0,376.5
72612,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,750.0
